Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 3),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 3),Unit Price (@ Batch Size: 3),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 3) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
AP3012KTR-G1,1,Diodes Inc.,AP3012KTR-G1,https://octopart.com/ap3012ktr-g1-diodes+inc.-30954658,AP3012 Series 16 V 500 mA 1.5 MHz Surface Mount Boost DC-DC Converter - SOT-25,,U2,,,48w,Compliant,3,AP3012KTR-G1DICT-ND,621-AP3012KTR-G1,Cut Tape,Tape & Reel,16,13.697068,133601,1250,1,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=30954658&sid=459&sig=0920746&vpid=95776337&ai4=706,https://octopart.com/click/track?country=TW&ct=offers&ppid=30954658&sid=2401&sig=0e872a9&vpid=174730013&ai4=706,Mouser,621-AP3012KTR-G1,Tape & Reel,13.697068,13.697068,41.091204,1250,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=30954658&sid=2401&sig=0e872a9&vpid=174730013&ai4=706,g
RT5750BHGJ5,1,Richtek,RT5750BHGJ5,https://octopart.com/rt5750bhgj5-richtek-112268624,6V 1A Sync Adj Acot Buck TSOT-25,replace ST1S12GR,U3,,,12w,,3,1028-RT5750BHGJ5CT-ND,,Cut Tape,,23,,2747,,1,,https://octopart.com/click/track?c=1&country=TW&ct=offers&ppid=112268624&sid=459&sig=070e2d0&vpid=658695421&ai4=706,,Digi-Key,1028-RT5750BHGJ5CT-ND,Cut Tape,23,23,69,2747,1,https://octopart.com/click/track?c=1&country=TW&ct=offers&ppid=112268624&sid=459&sig=070e2d0&vpid=658695421&ai4=706,g
ATMEGA328P-PU,1,Microchip,ATMEGA328P-PU,https://octopart.com/atmega328p-pu-microchip-77760224,"Microchip - ATMEGA328P-PU - Microcontroller Mcu, 8 Bit, Atmega, 20MHZ, DIP-28",,U4,,Production (Last Updated: 11 months ago),3w,Compliant,3,ATMEGA328P-PU-ND,556-ATMEGA328P-PU,Tube,Tube,86,64.012828,39815,0,1,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=77760224&sid=459&sig=04b47fc&vpid=408716895&ai4=706,https://octopart.com/click/track?c=1&country=TW&ct=offers&ppid=77760224&sid=2401&sig=09da2b6&vpid=408978608&ai4=706,Mouser,556-ATMEGA328P-PU,Tube,64.012828,64.012828,192.03848399999998,0,1,https://octopart.com/click/track?c=1&country=TW&ct=offers&ppid=77760224&sid=2401&sig=09da2b6&vpid=408978608&ai4=706,g
MAX6921AUI+,1,Maxim Integrated,MAX6921AUI+,https://octopart.com/max6921aui%2B-maxim+integrated-39847051,"20-Output, 76V, Serial-Interfaced VFD Tube Drivers",,U5,,Production (Last Updated: 1 month ago),7w,Compliant,3,MAX6921AUI+-ND,700-MAX6921AUI,Tube,Tube,218,208.81040399999998,394,140,1,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=39847051&sid=459&sig=0f40c03&vpid=115957033&ai4=706,https://octopart.com/click/track?country=TW&ct=offers&ppid=39847051&sid=2401&sig=0818e17&vpid=120447657&ai4=706,Mouser,700-MAX6921AUI,Tube,208.81040399999998,208.81040399999998,626.431212,140,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=39847051&sid=2401&sig=0818e17&vpid=120447657&ai4=706,g
DS3231M+TRL,1,Maxim Integrated,DS3231M+TRL,https://octopart.com/ds3231m%2Btrl-maxim+integrated-44322454,Real Time Clock Serial 16-Pin SOIC W T/R,,RTC,,Production (Last Updated: 4 months ago),52w,Compliant,3,DS3231M+TRLCT-ND,700-DS3231M+TRL,Cut Tape,Tape & Reel,243,244.031436,1968,2802,1,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=44322454&sid=459&sig=0af3bcb&vpid=220250735&ai4=706,https://octopart.com/click/track?country=TW&ct=offers&ppid=44322454&sid=2401&sig=0670dd3&vpid=265811433&ai4=706,Digi-Key,DS3231M+TRLCT-ND,Cut Tape,243,243,729,1968,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=44322454&sid=459&sig=0af3bcb&vpid=220250735&ai4=706,g
MF-MSMF050-2,1,Bourns,MF-MSMF050-2,https://octopart.com/mf-msmf050-2-bourns-28047,PTC Resettable Fuse 0.5A(hold) 1A(trip) 15V 100A 0.8W 0.15s 0.15Ohm SMD Solder Pad 1812 T/R,,F1,,,22w,Compliant,3,MF-MSMF050-2CT-ND,652-MF-MSMF050-2,Cut Tape,Tape & Reel,10,8.665492,1564,0,1,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=28047&sid=459&sig=0f2ac7d&vpid=1626218&ai4=706,https://octopart.com/click/track?c=1&country=TW&ct=offers&ppid=28047&sid=2401&sig=07cfdc9&vpid=37643688&ai4=706,Mouser,652-MF-MSMF050-2,Tape & Reel,8.665492,8.665492,25.996476,0,1,https://octopart.com/click/track?c=1&country=TW&ct=offers&ppid=28047&sid=2401&sig=07cfdc9&vpid=37643688&ai4=706,
BLM21PG121SN1D,1,Murata,BLM21PG121SN1D,https://octopart.com/blm21pg121sn1d-murata-17751448,Ferrite Beads Multi-Layer 120Ohm 25% 100MHz 3A 30mOhm DCR 0805 Paper T/R,,FB1,,Production (Last Updated: 1 month ago),21w,Compliant,3,490-5986-1-ND,81-BLM21PG121SN1D,Cut Tape,Tape & Reel,4,3.3543839999999996,97,12223,1,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=17751448&sid=459&sig=06ed73e&vpid=64139726&ai4=706,https://octopart.com/click/track?country=TW&ct=offers&ppid=17751448&sid=2401&sig=0074331&vpid=37725377&ai4=706,Mouser,81-BLM21PG121SN1D,Tape & Reel,3.3543839999999996,3.3543839999999996,10.063151999999999,12223,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=17751448&sid=2401&sig=0074331&vpid=37725377&ai4=706,g
CVH201205-2R2M,1,Bourns,CVH201205-2R2M,https://octopart.com/cvh201205-2r2m-bourns-101804601,Inductor Power Shielded Multi-Layer 2.2uH 20% 1MHz Ferrite 0.6A 0.33Ohm DCR 0805 T/R,,L1,,,24w,,3,CVH201205-2R2MCT-ND,652-CVH201205-2R2M,Cut Tape,Tape & Reel,8,6.9883,930,315,1,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=101804601&sid=459&sig=0d79492&vpid=549030858&ai4=706,https://octopart.com/click/track?country=TW&ct=offers&ppid=101804601&sid=2401&sig=0e2c2be&vpid=547354559&ai4=706,Mouser,652-CVH201205-2R2M,Tape & Reel,6.9883,6.9883,20.9649,315,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=101804601&sid=2401&sig=0e2c2be&vpid=547354559&ai4=706,g
CB2012T100KR,1,Taiyo Yuden,CB2012T100KR,https://octopart.com/cb2012t100kr-taiyo+yuden-19041648,Inductor Power Chip Wirewound 10uH 10% 2.52MHz Ferrite 0.52A 0.65Ohm DCR 0805 T/R,,L2,,,30w,Compliant,3,587-2452-1-ND,963-CB2012T100KR,Cut Tape,Tape & Reel,8,7.547364,4531,20910,1,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=19041648&sid=459&sig=0621da0&vpid=34090584&ai4=706,https://octopart.com/click/track?country=TW&ct=offers&ppid=19041648&sid=2401&sig=0b7ecbe&vpid=46007009&ai4=706,Mouser,963-CB2012T100KR,Tape & Reel,7.547364,7.547364,22.642091999999998,20910,1,https://octopart.com/click/track?country=TW&ct=offers&ppid=19041648&sid=2401&sig=0b7ecbe&vpid=46007009&ai4=706,g
